material_id,fiber_length,moisture_content,measurement_unit,timestamp
D,24.38554887240676,10.280968118336027,cm,2024-01-01 00:00:00
A,20.321152828704655,12.701091957328215,mm,2024-01-01 01:00:00
A,23.66055960186992,9.375433177525137,inches,2024-01-01 02:00:00
D,27.65177733369093,11.922608981467897,mm,2024-01-01 03:00:00
B,21.541696241373455,8.76845529059341,inches,2024-01-01 04:00:00
D,23.016232365720114,14.242835416471328,cm,2024-01-01 05:00:00
B,21.564136499402004,12.817801075873655,cm,2024-01-01 06:00:00
D,20.7739717925064,11.950766088248443,mm,2024-01-01 07:00:00
A,21.643769345815905,,cm,2024-01-01 08:00:00
A,24.936677005405492,14.547511860317552,cm,2024-01-01 09:00:00
B,194.1344825682361,,cm,2024-01-01 10:00:00
A,26.17207848908546,8.284036271106496,cm,2024-01-01 11:00:00
D,332.99010885549353,14.47232806090564,mm,2024-01-01 12:00:00
B,28.710220802886678,15.255301506297812,inches,2024-01-01 13:00:00
A,24.040822238191925,12.676023393148952,cm,2024-01-01 14:00:00
C,20.56185517957582,9.601463935329628,mm,2024-01-01 15:00:00
B,21.264208531245814,13.726690635088044,mm,2024-01-01 16:00:00
C,33.462273005138734,11.638159395843699,inches,2024-01-01 17:00:00
A,25.254038773880144,10.792158744413486,inches,2024-01-01 18:00:00
C,21.815021767153233,9.539883728666076,inches,2024-01-01 19:00:00
B,25.95457742333733,,mm,2024-01-01 20:00:00
C,35.50127568239421,13.585613731838695,cm,2024-01-01 21:00:00
A,25.600794762408146,10.752938540640416,cm,2024-01-01 22:00:00
D,,,cm,2024-01-01 23:00:00
A,26.50085159977914,9.711317220753715,mm,2024-01-02 00:00:00
C,23.238750767532405,13.603722063742689,cm,2024-01-02 01:00:00
A,19.2874090098893,12.09313459684829,mm,2024-01-02 02:00:00
B,23.253286387935614,11.626860456185302,mm,2024-01-02 03:00:00
C,23.95552883312611,11.79650825494171,cm,2024-01-02 04:00:00
C,,13.737772314011735,inches,2024-01-02 05:00:00
A,29.194917069372526,13.500823279730016,cm,2024-01-02 06:00:00
D,29.655510406517784,13.058930648705418,cm,2024-01-02 07:00:00
D,26.427936626271293,12.275402419994773,mm,2024-01-02 08:00:00
B,29.425705821353638,12.155642255825413,cm,2024-01-02 09:00:00
B,21.228010295016738,13.236760523997049,inches,2024-01-02 10:00:00
D,31.26434077616644,,cm,2024-01-02 11:00:00
C,27.564649102090044,13.36510281372897,mm,2024-01-02 12:00:00
A,23.50953582448642,11.37976645296388,cm,2024-01-02 13:00:00
C,27.442590732687485,,mm,2024-01-02 14:00:00
B,24.622141434894722,14.077649203718828,inches,2024-01-02 15:00:00
B,306.58146937257135,16.373959293948516,mm,2024-01-02 16:00:00
B,32.59908408211099,12.882728887137164,cm,2024-01-02 17:00:00
D,35.927877032665805,11.799689533433,cm,2024-01-02 18:00:00
D,18.01751832255931,11.727110512207934,cm,2024-01-02 19:00:00
B,17.779430972852055,11.76189162445038,inches,2024-01-02 20:00:00
C,22.477670685267743,12.034818816600009,cm,2024-01-02 21:00:00
B,,,cm,2024-01-02 22:00:00
B,293.80844605581126,10.965811084159544,inches,2024-01-02 23:00:00
A,26.578174736208027,10.005946344699474,mm,2024-01-03 00:00:00
A,14.888993920879985,12.497598322775541,inches,2024-01-03 01:00:00
B,23.46897993685814,11.406717695258275,inches,2024-01-03 02:00:00
A,,12.99042264795592,cm,2024-01-03 03:00:00
A,26.150473676821917,11.650593680514998,cm,2024-01-03 04:00:00
B,28.810055901560123,,mm,2024-01-03 05:00:00
D,23.888359286948205,12.427067802670884,cm,2024-01-03 06:00:00
D,23.996209655350015,16.381399457939466,mm,2024-01-03 07:00:00
C,25.932806954941423,8.207278154217814,mm,2024-01-03 08:00:00
B,27.05025823604128,10.706166623490184,mm,2024-01-03 09:00:00
A,25.99149860063385,13.802973783297421,cm,2024-01-03 10:00:00
C,25.595043229037294,17.056651413612798,cm,2024-01-03 11:00:00
D,21.646688568554847,11.50273044456908,mm,2024-01-03 12:00:00
D,26.887818931604595,12.087337986356777,mm,2024-01-03 13:00:00
C,25.609106354957184,11.54737151497279,mm,2024-01-03 14:00:00
B,,14.662914225175184,inches,2024-01-03 15:00:00
B,30.994589399507536,11.425384273047962,cm,2024-01-03 16:00:00
B,,13.360139679756209,inches,2024-01-03 17:00:00
D,23.12357524954943,11.360396802202658,cm,2024-01-03 18:00:00
A,21.80634796272889,9.454882489508012,mm,2024-01-03 19:00:00
A,27.117471770320563,12.627095440926864,inches,2024-01-03 20:00:00
B,25.3867003417428,13.006369626870653,inches,2024-01-03 21:00:00
D,,14.586451765064524,inches,2024-01-03 22:00:00
A,25.217984284171234,11.779105947165368,inches,2024-01-03 23:00:00
C,21.899995780259353,10.765275872575279,inches,2024-01-04 00:00:00
A,28.490160170361094,13.125522193238053,cm,2024-01-04 01:00:00
A,22.764357176070007,,cm,2024-01-04 02:00:00
B,,12.561330154245278,mm,2024-01-04 03:00:00
D,27.017458208954,11.853774592505445,inches,2024-01-04 04:00:00
B,27.967892616185335,14.32067713998754,mm,2024-01-04 05:00:00
C,19.52544077129479,12.738985432751447,cm,2024-01-04 06:00:00
D,25.84691216529334,15.809317416681962,cm,2024-01-04 07:00:00
A,28.702782255481374,14.22211339712101,inches,2024-01-04 08:00:00
A,20.231496990960327,13.31809959220042,inches,2024-01-04 09:00:00
B,23.66890746998189,8.745123318767485,cm,2024-01-04 10:00:00
D,25.163072733466795,13.204638560591258,mm,2024-01-04 11:00:00
C,18.13441339876622,12.840564407294119,mm,2024-01-04 12:00:00
D,26.57579696021146,13.621903345607112,inches,2024-01-04 13:00:00
D,,14.088884189414518,mm,2024-01-04 14:00:00
