material_id,fiber_length,moisture_content,measurement_unit,timestamp
D,29.122406904272964,12.241606349510754,mm,2024-01-01 00:00:00
B,26.30218522302251,10.268482570280872,inches,2024-01-01 01:00:00
B,31.885910097633342,12.851410865481144,inches,2024-01-01 02:00:00
A,18.134647026591797,12.255623678530563,inches,2024-01-01 03:00:00
D,24.950332303169308,11.153382056137339,mm,2024-01-01 04:00:00
A,18.05260977029714,10.941452191142027,mm,2024-01-01 05:00:00
C,31.147812549116132,9.609436426190001,cm,2024-01-01 06:00:00
B,23.730586829999396,10.353457834392298,cm,2024-01-01 07:00:00
C,29.27884920334115,10.55598335331609,inches,2024-01-01 08:00:00
A,24.120014420893174,11.289278278307016,mm,2024-01-01 09:00:00
D,16.519488705967284,11.359594973761338,inches,2024-01-01 10:00:00
B,20.21914145505157,11.830224619176946,inches,2024-01-01 11:00:00
C,30.77819672952884,13.328481993591936,mm,2024-01-01 12:00:00
D,26.206657026566628,,mm,2024-01-01 13:00:00
D,26.38385424750517,16.177611580415892,inches,2024-01-01 14:00:00
B,30.221036885623604,10.153526875749009,inches,2024-01-01 15:00:00
A,25.90869502868966,13.289094157029432,mm,2024-01-01 16:00:00
A,21.11977903114009,12.33258784889096,inches,2024-01-01 17:00:00
C,29.11211960572919,13.526513718572328,inches,2024-01-01 18:00:00
A,20.49976664499127,13.102135116913487,mm,2024-01-01 19:00:00
C,25.181207497309607,,inches,2024-01-01 20:00:00
C,29.85366595416014,11.462207291544104,cm,2024-01-01 21:00:00
C,21.74665945131588,11.271199151827966,inches,2024-01-01 22:00:00
A,257.74666435852464,9.506787285737241,cm,2024-01-01 23:00:00
D,196.17437489093192,10.304962133588589,mm,2024-01-02 00:00:00
A,25.58170725290003,,inches,2024-01-02 01:00:00
D,,,mm,2024-01-02 02:00:00
B,,10.786570129720829,mm,2024-01-02 03:00:00
B,26.638673799017592,9.841161467906014,mm,2024-01-02 04:00:00
B,,8.748694837957723,mm,2024-01-02 05:00:00
C,38.58396802932405,10.792264957176165,cm,2024-01-02 06:00:00
B,27.778497231546698,11.263911404675126,mm,2024-01-02 07:00:00
C,24.781902205637813,8.88906253276898,mm,2024-01-02 08:00:00
A,,,inches,2024-01-02 09:00:00
C,25.227994117850503,9.238847514220653,mm,2024-01-02 10:00:00
C,319.02934681932754,12.58665951055084,cm,2024-01-02 11:00:00
B,,13.318757734627436,cm,2024-01-02 12:00:00
C,27.751341735170197,,cm,2024-01-02 13:00:00
A,23.083612435738324,12.924919982635876,mm,2024-01-02 14:00:00
B,20.02996457697339,11.739016767746316,mm,2024-01-02 15:00:00
C,23.163113277951936,12.148911286664493,mm,2024-01-02 16:00:00
C,29.487780333494968,10.648972913933008,mm,2024-01-02 17:00:00
D,,,inches,2024-01-02 18:00:00
A,18.163230227477314,12.201299369798898,cm,2024-01-02 19:00:00
A,32.92547818916079,12.041251335943372,inches,2024-01-02 20:00:00
D,17.85494841884816,13.608219914993064,cm,2024-01-02 21:00:00
C,16.888393957946846,11.940255889685679,inches,2024-01-02 22:00:00
B,22.854560997537977,13.438137576484813,inches,2024-01-02 23:00:00
B,16.869686672912046,9.930417568948801,cm,2024-01-03 00:00:00
A,16.210771833894803,13.033621463789487,inches,2024-01-03 01:00:00
C,21.414658755039728,14.148563072429987,cm,2024-01-03 02:00:00
B,26.062906862497815,,cm,2024-01-03 03:00:00
A,29.439868891623277,8.707408015805289,mm,2024-01-03 04:00:00
D,30.789413929121856,13.153016781356563,mm,2024-01-03 05:00:00
C,225.70388457014667,11.355654043291132,mm,2024-01-03 06:00:00
D,30.19249991395403,,inches,2024-01-03 07:00:00
D,25.75398000274333,11.330470149627162,inches,2024-01-03 08:00:00
C,22.025664594263038,11.056873721936386,cm,2024-01-03 09:00:00
D,26.70641636769112,11.064245541563366,inches,2024-01-03 10:00:00
B,22.527882043360655,11.761671024889731,cm,2024-01-03 11:00:00
